partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_1,mol1391,COC(=O)/C=C/C1=CC2=C(c3ccccc3)c3cc(/C=C/C(=O)OC)cn3[B-](F)(F)[N+]2=C1,4,0,2.65,1.5704,1.0796,1.001362
partition_1,mol1392,F[B-]1(F)n2c(c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)N=C2C=C(c3ccccc3)C(c3ccccc3)=[N+]21,4,0,2.4265,1.1328,1.2937,1.166781
partition_1,mol1395,C[Si](C)(C)c1ccc(-c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)s2)s1,4,0,2.7218,1.7636,0.9582,3.410799
partition_1,mol1396,CCCCCC[N+]1=C(C=C2C(=O)C(C=C3N(CCCC)c4ccccc4C3(C)C)=C2[O-])Cc2ccccc21,4,0,2.3356,0.9552,1.3804,2.509559
partition_1,mol1397,CCN1/C(=C\C2=C([O-])C(C)/C2=C/C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,4,0,2.4366,1.5665,0.8701,0.806418
partition_1,mol1399,CN(C)c1ccc(/C=C/C=C(C#N)/C=C/c2ccc(N(C)C)cc2)cc1,4,0,2.9674,1.8285,1.1389,4.148152
partition_1,mol1400,CN(C)c1ccc2c(/C=C/C=C/C=C3\N(CS(=O)(=O)O)c4ccc(S(=O)(=O)O)cc4C3(C)C)cc(=O)oc2c1,4,0,2.9013,1.9375,0.9638,2.371394
partition_1,mol1401,CCCCCCCNc1cc(Cl)c(/N=N/c2ccc([N+](=O)[O-])cc2C#N)c(Cl)c1,4,0,1.364,1.2667,0.0973,0.063615
partition_1,mol1402,CCCCC(CC)CN1C(=O)C(C#N)=C(c2sc(-c3ccc4c(c3)Sc3cc(C=C(C#N)C(=O)O)ccc3N4C)cc2C)C1=O,4,0,2.2409,1.4169,0.824,1.617581
partition_1,mol1409,CCCOc1ccc(-c2ccc3c(c2)Sc2cc(C=C(C#N)C(=O)O)ccc2N3CC)cc1,4,0,2.3493,1.6165,0.7328,0.655656
partition_1,mol1414,CCCCCCCCCCCOc1cc(C2=C3C(=O)NC(c4ccc(OCCCCCCCCCCC)c(OCCCCCCCCCCC)c4)=C3C(=O)N2)ccc1OCCCCCCC,4,0,2.6426,1.4408,1.2018,1.128502
partition_1,mol1416,CCCCCCCN(C)c1ccc(/C=C(\C#N)c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)s2)cc1,4,0,2.7079,1.6672,1.0407,3.357656
partition_1,mol1417,CCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](CCCCC)c4ccc(C(=O)O)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,4,0,2.3671,1.0233,1.3438,3.045469
partition_1,mol1419,CCCCCCCCCCCCN(CCCCCCC)c1ccc(/C=C/c2cc[n+](CCCS(=O)(=O)[O-])cc2)cc1,4,0,3.0723,1.9051,1.1672,2.341488
partition_1,mol1420,CC1=[N+]2C(=Nc3c(-c4ccccc4)cc(-c4cccs4)n3[B-]2(F)F)C=C1c1cccs1,4,0,2.2295,1.0586,1.1709,0.745396
partition_1,mol1432,O=[N+]([O-])c1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1,4,0,3.1468,2.4695,0.6773,4.880934
partition_1,mol1435,COc1cc2sc3cc(Cl)ccc3[nH]c2c2c(=O)c3ccccc3c(=O)c12,4,0,2.1151,0.9458,1.1693,0.77181
partition_1,mol1436,CCCCN(/N=C/c1ccc(C#Cc2ccc3c4c(cccc24)C(=O)OC3=O)cc1)c1ccccc1,4,0,2.9897,2.2232,0.7665,2.771466
partition_1,mol1437,CCCCCOc1ccc(-c2cnc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)s2)cc1,4,0,2.8313,1.856,0.9753,3.238349
partition_1,mol1446,CCCCCCCCCCOc1ccc(-c2ccc3c(c2)Sc2cc(-c4ccc(OCCCCC)c5nsnc45)ccc2N3c2ccc(C(=O)O)cc2)cc1,4,0,3.5512,2.6724,0.8788,1.135938
partition_1,mol1447,CN(c1ccccc1)c1ccc(/C(=C2\C=CC(=O)C(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)=C2)c2ccccc2)cc1,4,0,2.0546,1.4358,0.6188,0.075106
partition_1,mol1448,F[B-]1(F)n2c(cc3c4ccccc4c4ccccc4c32)C(c2ccccc2)=C2C=CC(c3ccccc3)=[N+]21,4,0,2.5999,1.506,1.0939,1.233391
partition_1,mol1450,CCC[B-]1(OC(C)=O)OC(/C=C/c2ccc3cc(OC)ccc3c2)=CC(/C=C/c2ccc3cc(OC)ccc3c2)=[O+]1,4,0,2.9491,2.15,0.7991,3.180635
partition_1,mol1453,CCCCCCCn1c2ccc(-c3ccc(/C=C(/C#N)C(=O)O)o3)cc2c2cc3c(cc21)c1ccccc1n3CCC,4,0,3.0119,1.9351,1.0768,2.339177
partition_1,mol1454,Clc1ccc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)s1,4,0,1.4935,1.4236,0.0699,0.066018
partition_1,mol1458,CCn1c(-c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6c6ccccc56)s4)o3)s2)cc2ccccc21,4,1,3.2052,2.5182,0.687,2.033198
partition_1,mol1462,CCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2ccc(O)cc2Cl)c2ccccc2c1O,4,1,1.9889,1.6862,0.3027,0.103149
partition_1,mol1467,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c(OC)c3)=[O+][B-](F)(F)O2)cc1OC,4,1,2.7532,1.9388,0.8144,2.713986
partition_1,mol1486,COCCCCN1C(=O)C2=C(c3ccncc3)N(CCOCCOCCOC)C(=O)C2=C1c1ccncc1,4,1,2.5123,1.2833,1.229,0.457442
partition_1,mol1487,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,4,1,3.4031,2.5064,0.8967,2.20781
partition_1,mol1490,CN(C)c1ccc(/C=C/c2nc3ccccc3s2)cc1,4,1,3.3489,2.3189,1.03,2.091864
partition_1,mol1494,CCCCCCCCCNc1ccc(/N=N/c2ccc(C#N)cc2)cc1,4,1,1.6853,1.6899,-0.0046,0.043446
partition_1,mol1509,CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,4,1,3.1238,2.3296,0.7942,2.544277
partition_1,mol1513,CCN(CC)c1ccc(/C=C/c2ccc3nc(/C=C/c4ccc(N(C)C)cc4)oc3c2)cc1,4,1,3.1254,2.3344,0.791,3.388921
partition_1,mol1514,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2c(Cl)cccc2Cl)c2ccccc2c1O,4,1,1.3997,1.2532,0.1465,0.080112
partition_1,mol1516,F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)C(c2ccccc2)=C2c3ccccc3C(c3ccccc3)=[N+]21,4,1,2.4038,1.086,1.3178,1.677379
partition_1,mol1518,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2ccccc2Cl)c2ccccc2c1O,4,1,1.5993,1.2984,0.3009,0.131837
partition_1,mol1519,COC(=O)/C=C/C1=CC2=C(c3ccc(OC)cc3)c3cc(/C=C/C(=O)OC(C)(C)C)cn3[B-](F)(F)[N+]2=C1,4,1,2.6478,1.6528,0.995,1.003825
partition_1,mol1531,CCCCCCCN(CCCCC)c1ccc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)c3nsnc23)cc1,4,1,2.7279,1.8001,0.9278,2.967654
partition_1,mol1537,COc1cccc(OCCCCCN2c3ccccc3Sc3cc(-c4ccc(C=C(C#N)C(=O)O)s4)ccc32)c1,4,1,2.5836,1.7785,0.8051,1.327796
partition_1,mol1542,CCCCCCCOc1ccc(N2c3ccccc3Sc3cc(/C=C(/C#N)C(=O)O)ccc32)cc1,4,1,2.3317,1.5353,0.7964,0.685122
partition_1,mol1544,CCCN(c1ccccc1)c1ccc(C=C(C#N)C(=O)O)cc1,4,1,3.2287,2.0339,1.1948,1.646792
partition_1,mol1551,CCCCCCCCCN(C)/N=C/c1cc(/N=N/c2cccc(Br)c2)ccc1O,4,1,1.4471,1.4414,0.0057,0.019057
partition_1,mol1558,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,4,2,3.3379,2.5277,0.8102,2.443114
partition_1,mol1559,O=Cc1ccc(-c2ccc(-c3nc4cc5sc(-c6cccs6)nc5cc4s3)s2)s1,4,2,3.1212,2.2499,0.8713,3.054554
partition_1,mol1562,CCCCCCC1(CCCC)c2cc(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(C=O)cc21,4,2,3.6151,3.0954,0.5197,2.633927
partition_1,mol1568,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,4,2,3.8556,2.8229,1.0327,1.302645
partition_1,mol1575,CCCCOc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,4,2,2.8456,1.9503,0.8953,3.161162
partition_1,mol1578,COc1ccc(/N=N/c2cc(C(N)=O)c(O)c3ccccc23)cc1,4,2,1.8608,1.6113,0.2495,0.106096
partition_1,mol1587,CN(C)c1ccc(C2=Nc3sc4ccccc4[n+]3[B-](F)(F)O2)cc1,4,2,3.3193,2.4179,0.9014,1.887335
partition_1,mol1594,O=S(=O)(O)c1ccc(/N=N/c2ccc(O)c3ncccc23)cc1,4,2,1.3705,1.3017,0.0688,0.039176
partition_1,mol1596,CN(C)c1ccc(/C=C/c2nc(N)c3c([n+]2[O-])CCCC3)cc1,4,2,2.4532,1.5535,0.8997,0.641124
partition_1,mol1597,CN(C)c1ccc(/C=C/c2nc3ccccc3o2)cc1,4,2,3.4214,2.3517,1.0697,2.17095
partition_1,mol1602,CCCCCCCCCCCCCOc1cc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)c(OCCCCCCCCCCC)cc1Br,4,2,1.4818,1.4355,0.0463,0.056982
partition_1,mol1603,Nc1nc(N)n2nc3ccccc3cc12,4,2,1.6751,0.8569,0.8182,0.129873
partition_1,mol1609,C1=NC(c2ccc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)s3)s2)=N1,4,2,1.7355,0.9675,0.768,0.193534
partition_1,mol1622,CCCCCCCCCCCCNc1ccc(/N=N/c2ccc(C#N)cc2)cc1,4,2,1.3583,1.3521,0.0062,0.046064
partition_1,mol1627,CCCCCCCCCOc1cc2cc(-c3ccc(C(=O)OCC)cc3)sc2cc1C#Cc1ccc(C(=O)OCC)cc1,4,2,3.5501,2.9355,0.6146,1.167132
partition_1,mol1636,C1=NC(c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=N1,4,2,2.0904,1.4291,0.6613,0.218534
partition_1,mol1650,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)c2)cc1,4,2,3.3679,2.5148,0.8531,3.009351
partition_1,mol1671,C1=CC2=Nc3ccc(-c4ccc(-c5nc6ccccc6n5-c5ccccc5)s4)cc3C2=C1,4,3,1.0888,0.7226,0.3662,0.004312
partition_1,mol1688,CN(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,4,3,3.9405,3.0234,0.9171,1.303772
partition_1,mol1705,COc1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2OC)cc1,4,3,3.7411,3.0598,0.6813,0.830222
partition_1,mol1727,COC(=O)c1nc(-c2ccccc2)oc1-c1ccccc1,4,3,3.9261,2.9425,0.9836,1.065373
partition_1,mol1736,CCCCCCCC1(CCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)C(CCC)(CCCCC)c3ccccc3-4)cc21,4,4,3.9733,3.3014,0.6719,2.786118
partition_1,mol1750,[CH]1Nc2cc3ccccc3cc2[C@H]2C=C[C@H]12,4,4,1.9817,1.9817,0.0,0.045331
partition_1,mol1752,OC(O)CNc1ccc(/C=C/c2ccccn2)cc1,4,4,3.7697,2.7069,1.0628,1.706894
partition_1,mol1792,COc1ccc2cc(/C=C/c3ccc([N+](=O)[O-])cc3)ccc2c1,4,4,3.4179,2.5263,0.8916,1.912396
