partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_0,mol0056,c1cc(C2CCCC2)cc(N2c3ccccc3Oc3cc(N4c5ccccc5Oc5ccccc54)ccc32)c1,0,0,3.130200,2.739300,0.390900,0.065793
partition_0,mol0057,c1ccc2c(c1)Oc1ccccc1N2c1ccc2ncoc2c1,0,0,3.106100,2.731900,0.374200,0.017978
partition_0,mol0058,Cc1cc2ccc3ccc4ccc5ccc1c2c3c45,0,0,1.393700,1.236800,0.156900,0.007574
partition_0,mol0059,CC1(C)c2ccccc2N(c2ccc3c(c2)P(=O)(c2ccccc2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2-3)c2ccccc21,0,0,3.828500,3.473200,0.355300,0.176534
partition_0,mol0060,Cc1cc(-c2c(C)cc(C)c(N3c4ccccc4N(c4ccccc4)c4ccccc43)c2C)c2ccccc2c1,0,0,2.434800,2.207700,0.227100,0.000116
partition_0,mol0061,COP(=O)(OCc1cccc(C(=O)Cn2c3ccccc3c(=O)c3ccccc32)c1)OP(=O)(O)OCCNC(=O)C(N)CC(C)=O,0,0,3.558800,3.099200,0.459600,0.006201
partition_0,mol0062,[O]C1=Cc2ccc3c4c(ccc1c24)C=C3,0,1,1.965200,1.965200,0.000000,0.006961
partition_0,mol0063,CC1CCc2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc21,0,1,3.965600,3.375700,0.589900,0.066053
partition_0,mol0064,O=Cc1ccc2c(c1)C(=O)c1cc(N3CCCCC3)ccc1-2,0,1,1.971600,1.528400,0.443200,0.146227
partition_0,mol0065,CCCC1(C)c2cc(C#CC3=CC=c4ccc5c6c3ccc(c46)C=CC=5)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,0,1,2.239400,1.460700,0.778700,0.111874
partition_0,mol0066,FC(F)(F)c1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(C3CCCC3)c2)cc1,0,1,4.570000,4.178800,0.391200,0.007689
partition_0,mol0067,C1=CC2=C(c3c4ccccc4cc4ccccc34)C=CC2=C1,0,1,0.630000,0.298100,0.331900,0.001038
partition_0,mol0068,CC(=O)Cc1ccc2ccc3cccc4ccc1c2c34,0,1,3.737300,2.730200,1.007100,0.004206
partition_0,mol0069,N#Cc1cc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)ccc1O,0,1,3.377400,2.655200,0.722200,0.091193
partition_0,mol0070,O=c1c2ccccc2n(-c2ccc(C3CCCC3)cc2)c2ccccc12,0,1,3.514500,2.692000,0.822500,0.263753
partition_0,mol0071,CCC1(C)c2cc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)cc21,0,1,3.773200,3.252400,0.520800,5.211871
partition_0,mol0072,CCC1(C)c2cc(C=O)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1,3.239000,2.870500,0.368500,0.058919
partition_0,mol0073,CC1(C)c2cc(N3c4ccccc4Sc4ccccc43)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1,3.365800,2.958300,0.407500,0.126986
partition_0,mol0074,CCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4cc(C)ccc43)cc21,0,1,3.309400,2.894200,0.415200,0.108485
partition_0,mol0075,C1=Cc2ccc3c4c(ccc1c24)C=C3,0,1,1.622200,1.302100,0.320100,0.000000
partition_0,mol0076,CCC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)cn3)cc2)c2ccccc21,0,1,3.576600,3.388700,0.187900,0.085854
partition_0,mol0077,CC1(C)c2ccccc2N(C2CCCC2)c2ccccc21,0,1,3.986300,3.521100,0.465200,0.058473
partition_0,mol0078,CCCCC/[NH+]=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)[O-])c-2cc1C,0,1,4.176600,3.723700,0.452900,0.003649
partition_0,mol0079,CCCCCC1(CC)c2ccccc2-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc21,0,1,3.478200,2.697900,0.780300,0.364538
partition_0,mol0080,O=c1[nH]c(-c2ccc(-c3ccccc3)cc2)c2c(=O)c(=O)cc1-2,0,1,1.705400,1.311700,0.393700,0.000502
partition_0,mol0081,CC1=Cc2ccc3c4c(ccc1c24)C=C3,0,1,1.610300,1.290900,0.319400,0.000620
partition_0,mol0082,O=Cc1nn(-c2cccc3ccccc23)c(=O)c2ccccc12,0,1,3.627600,2.757700,0.869900,0.122259
partition_0,mol0083,CC1(C)c2ccccc2N(c2cccc(C#N)c2)c2ccccc21,0,1,3.674500,3.405600,0.268900,0.008886
partition_0,mol0084,c1cnc2c(C3CCCC(c4ccc(-c5ccc(C6CCCC6)nn5)nn4)C3)cncc2c1,0,1,3.397200,3.397200,0.000000,0.008391
partition_0,mol0085,CC1(C)CCN2CCC(C)(C)c3cc(-c4ccc(C=C(C#N)C(=O)O)s4)cc1c32,0,1,2.819600,1.660000,1.159600,2.295812
partition_0,mol0086,Cc1cc2ccccc2cc1C,0,1,4.222800,3.423200,0.799600,0.003815
partition_0,mol0087,CCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1,3.255200,2.858600,0.396600,0.086481
partition_0,mol0088,CC1(C)c2cc(C=O)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1,3.220100,2.848000,0.372100,0.060955
partition_0,mol0089,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)Oc1ccccc1S2,0,1,3.764400,3.355000,0.409400,0.011889
partition_0,mol0090,O=C1NC(=O)C2C=CC=CC2C1=O,0,1,2.866400,2.855300,0.011100,0.002937
partition_0,mol0091,CC1(C)CCc2cc3c(cc21)C(c1ccc(N2c4ccccc4Sc4ccccc42)cc1C(=O)[O-])=c1cc2c4c(c1O3)CCC[N+]=4CCC2,0,1,3.186300,2.838000,0.348300,0.036219
partition_0,mol0092,c1cnc2c(c1)ccc1cc(C3CCCC3)cnc12,0,1,4.074900,3.631300,0.443600,0.005680
partition_0,mol0093,CCCCCCCCCN1c2ccccc2Sc2cc(/C=C(/C#N)C(=O)O)ccc21,0,1,2.355400,1.623200,0.732200,0.530566
partition_0,mol0094,CCCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1,3.245100,2.848900,0.396200,0.091030
partition_0,mol0095,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)c3)cc2)c2ccccc21,0,1,3.979200,3.369100,0.610100,0.047849
partition_0,mol0096,c1cnc2c(c1)ccc1ccc(C3CCCC3)nc12,0,1,4.079200,3.602100,0.477100,0.005511
partition_0,mol0097,c1cc2ccc3cccc4ccc(c1)c2c34,0,1,3.777700,2.781400,0.996300,0.002612
partition_0,mol0098,c1ccc(-n2c3ccc(-c4cccc(C5CCCC5)c4)cc3c3cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)ccc32)cc1,0,1,3.786700,3.380100,0.406600,0.112547
