mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1417,CCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](CCCCC)c4ccc(C(=O)O)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,2.382526,520.4,2.042483994,3.37097,367.8,0.000948672,4.282873,289.5,0.295352409,1.221,3.047,1.16,2.382527,520.4,2.042483843,3.370971,367.8,0.00094867,4.282873,289.5,0.295352887,-6.7508,-1.2066,5.54
mol1516,F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)C(c2ccccc2)=C2c3ccccc3C(c3ccccc3)=[N+]21,2.366877,523.8,1.190430784,4.215786,294.1,0.399086787,4.246986,291.9,0.07516187,1.246,2.908,1.12,2.366877,523.8,1.190430755,4.215786,294.1,0.399086783,4.246986,291.9,0.075161868,-6.9459,-1.3737,5.57
mol1401,CCCCCCCNc1cc(Cl)c(/N=N/c2ccc([N+](=O)[O-])cc2C#N)c(Cl)c1,2.375278,522.0,0.280235228,3.32943,372.4,1.252511064,4.256813,291.3,0.02189423,1.615,2.271,0.76,2.375301,522.0,0.28018735,3.329441,372.4,1.252418441,4.256823,291.3,0.021893009,-7.8982,-1.6578,6.24
mol0954,CCCCCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](CCCCCC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2cc(C(=O)O)ccc21,2.35872,525.6,2.061596466,3.412218,363.4,0.000604452,4.24783,291.9,0.00293715,1.207,3.019,1.15,2.358721,525.6,2.061596292,3.412219,363.4,0.000604455,4.247831,291.9,0.002937199,-6.7611,-1.2142,5.55
mol0822,CCCc1cc2ccc1[nH]c1ccc3nc(c4cc(CCC)c(ccc5nc(c2[nH]1)C=C5CCO)[nH]4)C=C3C,2.347179,528.2,0.009814415,2.567287,482.9,0.491679536,3.13997,394.9,0.007991404,1.461,1.57,0.89,2.347179,528.2,0.009814417,2.567287,482.9,0.491679443,3.139971,394.9,0.007991404,-6.5462,-1.097,5.45
mol0898,C1=Cc2cc(N(c3ccccc3)c3ccccc3)c3c4c(ccc1c24)C=C3,2.317773,534.9,0.047150175,3.007479,412.3,0.247967336,3.876698,319.8,0.076027903,1.582,2.196,0.74,2.317773,534.9,0.047150176,3.007479,412.3,0.247967319,3.876698,319.8,0.076027903,-7.2841,-1.1241,6.16
mol1392,F[B-]1(F)n2c(c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)N=C2C=C(c3ccccc3)C(c3ccccc3)=[N+]21,2.313642,535.9,1.293048456,3.075948,403.1,0.232485442,3.598219,344.6,0.1196302,0.91,2.399,1.4,2.313642,535.9,1.293047895,3.075948,403.1,0.232485319,3.598219,344.6,0.119630195,-7.534,-2.0808,5.45
mol1022,Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3ccccc3cc12,2.286086,542.3,0.349228375,3.482479,356.0,0.008458248,3.640608,340.6,0.022515136,0.92,2.224,1.37,2.286086,542.3,0.349228374,3.482479,356.0,0.008458248,3.640608,340.6,0.022515136,-6.6138,-1.3727,5.24
mol1040,F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,2.25101,550.8,1.159491349,3.136015,395.4,0.004505414,3.355749,369.5,0.552998023,0.898,2.506,1.35,2.25101,550.8,1.159491232,3.136015,395.4,0.004505413,3.355749,369.5,0.552997968,-7.477,-2.1511,5.33
mol1603,Nc1nc(N)n2nc3ccccc3cc12,2.242177,553.0,0.210518488,4.319348,287.0,0.074277272,4.635541,267.5,0.133626762,1.168,3.164,1.07,2.242177,553.0,0.210518488,4.319348,287.0,0.074277272,4.635541,267.5,0.133626762,-6.4715,-0.4232,6.05
mol1010,CCc1c2cc3ccccc3cc2c(C#Cc2ccccc2)c2cc3ccccc3cc12,2.217289,559.2,0.461531574,3.472699,357.0,0.00778823,3.620235,342.5,0.030170125,0.89,2.218,1.33,2.217288,559.2,0.461497027,3.472699,357.0,0.00778823,3.620235,342.5,0.030170125,-6.5392,-1.4126,5.13
mol0491,CCCC1=Cc2nc1ccc1[nH]c(cc1CCC)c1nc(ccc3[nH]c2c(-c2cccc(OC)c2)c3-c2cccc(OC)c2)C(C)=C1,2.232725,555.3,0.357864452,2.339947,529.9,0.41297092,3.51954,352.3,0.063510898,1.293,1.487,0.94,2.232725,555.3,0.357864451,2.339947,529.9,0.412970919,3.51954,352.3,0.063510897,-7.0832,-1.875,5.21
